ASN_Number,ASN_description,ASN_Country_Code,IP_Type,ip,IP_range,IP_description,IP_Country
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,62.115.112.157,62.115.0.0/16,,SE
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,213.248.70.121,213.248.64.0/18,,SE
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,213.248.88.90,213.248.64.0/18,,SE
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,62.115.191.217,62.115.0.0/16,,SE
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,62.115.143.16,62.115.0.0/16,,SE
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,62.115.113.21,62.115.0.0/16,,SE
AS1299,"Arelion, f/k/a Telia Carrier",SE,Global,80.91.249.11,80.91.240.0/20,Telia Company AB,EU
AS13335,"Cloudflare, Inc.",US,Regional,172.70.120.2,172.70.120.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Global,104.16.29.57,104.16.0.0/12,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Global,162.158.226.122,162.158.226.0/23,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,103.22.201.36,103.22.201.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Global,104.16.115.21,104.16.0.0/12,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,172.70.108.4,172.70.108.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,141.101.65.26,141.101.65.0/24,"CloudFlare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,162.158.152.5,162.158.152.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,172.71.196.4,172.71.196.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,172.69.176.5,172.69.176.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,141.101.65.30,141.101.65.0/24,"CloudFlare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,172.71.100.2,172.71.100.0/24,"Cloudflare, Inc.",US
AS13335,"Cloudflare, Inc.",US,Regional,172.71.92.2,172.71.92.0/24,"Cloudflare, Inc.",US
AS15169,Google LLC,US,Global,142.250.56.39,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,74.125.242.145,74.125.0.0/16,Google LLC,US
AS15169,Google LLC,US,Global,216.239.54.159,216.239.32.0/19,Google LLC,US
AS15169,Google LLC,US,Global,142.251.64.7,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,142.251.35.164,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,108.170.242.129,108.170.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,216.239.54.92,216.239.32.0/19,Google LLC,US
AS15169,Google LLC,US,Global,142.251.60.195,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,142.250.196.100,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,142.250.234.37,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,72.14.204.154,72.14.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,72.14.195.128,72.14.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,142.251.227.213,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,142.251.55.221,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,142.250.193.100,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,216.58.214.4,216.58.192.0/19,Google LLC,US
AS15169,Google LLC,US,Global,209.85.148.162,209.85.128.0/17,Google LLC,US
AS15169,Google LLC,US,Global,216.58.200.132,216.58.192.0/19,Google LLC,US
AS15169,Google LLC,US,Global,108.170.248.202,108.170.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,74.125.51.166,74.125.0.0/16,Google LLC,US
AS15169,Google LLC,US,Global,209.85.168.26,209.85.128.0/17,Google LLC,US
AS15169,Google LLC,US,Global,209.85.253.143,209.85.128.0/17,Google LLC,US
AS15169,Google LLC,US,Global,142.250.63.91,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,172.253.71.201,172.253.0.0/16,Google LLC,US
AS15169,Google LLC,US,Global,216.239.47.175,216.239.32.0/19,Google LLC,US
AS15169,Google LLC,US,Global,142.251.55.243,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,108.170.241.161,108.170.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,142.250.224.213,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,108.170.242.97,108.170.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,108.170.231.79,108.170.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,74.125.37.7,74.125.0.0/16,Google LLC,US
AS15169,Google LLC,US,Global,108.170.241.225,108.170.192.0/18,Google LLC,US
AS15169,Google LLC,US,Global,142.251.227.211,142.250.0.0/15,Google LLC,US
AS15169,Google LLC,US,Global,142.250.224.133,142.250.0.0/15,Google LLC,US
AS16625,"Akamai Technologies, Inc.",US,Global,104.122.217.246,104.122.216.0/22,"Akamai Technologies, Inc.",US
AS16625,"Akamai Technologies, Inc.",US,Global,23.60.109.172,23.60.108.0/22,"Akamai Technologies, Inc.",US
