index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,3 ms,1 ms,5 ms,192.168.31.1,,,,,,,,,
1,3 ms,2 ms,2 ms,10.5.82.1,,,,,,,,,
2,2 ms,1 ms,1 ms,192.168.41.149,,,,,,,,,
3,2 ms,1 ms,1 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,2 ms,2 ms,1 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,3 ms,3 ms,2 ms,10.119.254.121,,,,,,,,,
6,9 ms,9 ms,7 ms,10.160.24.5,,,,,,,,,
7,9 ms,3 ms,4 ms,10.255.222.33,,,,,,,,,
8,5 ms,4 ms,7 ms,115.247.100.29,115.240.0.0/13,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
15,31 ms,32 ms,31 ms,49.44.187.157,49.44.128.0/17,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
16,31 ms,30 ms,30 ms,151.101.152.81,151.101.0.0/16,SKYCA-3,Fastly,US,54113.0,"Fastly, Inc.",FASTLY,US,Global
