index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,3 ms,1 ms,1 ms,192.168.31.1,,,,,,,,,
1,10 ms,5 ms,3 ms,10.5.82.1,,,,,,,,,
2,3 ms,2 ms,5 ms,192.168.41.149,,,,,,,,,
3,2 ms,4 ms,1 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,3 ms,1 ms,2 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,3 ms,3 ms,3 ms,10.119.254.121,,,,,,,,,
8,29 ms,30 ms,30 ms,10.119.73.122,,,,,,,,,
9,31 ms,31 ms,29 ms,72.14.195.128,72.14.192.0/18,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
10,31 ms,35 ms,30 ms,142.251.227.213,142.250.0.0/15,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
11,31 ms,28 ms,28 ms,142.251.55.221,142.250.0.0/15,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
12,28 ms,31 ms,30 ms,142.250.193.100,142.250.0.0/15,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
