index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,3 ms,1 ms,1 ms,192.168.31.1,,,,,,,,,
1,3 ms,1 ms,1 ms,10.5.82.1,,,,,,,,,
2,6 ms,2 ms,3 ms,192.168.41.149,,,,,,,,,
3,5 ms,1 ms,1 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,2 ms,2 ms,1 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,55 ms,3 ms,2 ms,10.119.254.121,,,,,,,,,
6,101 ms,4 ms,3 ms,10.160.24.5,,,,,,,,,
7,126 ms,79 ms,4 ms,10.255.222.33,,,,,,,,,
8,6 ms,4 ms,4 ms,115.247.100.29,115.240.0.0/13,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
14,229 ms,191 ms,209 ms,195.50.117.33,195.50.64.0/18,UK-LVLT-970212,LUMEN TECHNOLOGIES UK LIMITED,GB,3356.0,"Level 3 Parent, LLC",LEVEL3,US,Global
16,321 ms,203 ms,409 ms,62.67.23.38,62.67.0.0/16,,,GB,3356.0,"Level 3 Parent, LLC",LEVEL3,US,Global
17,212 ms,202 ms,206 ms,212.227.117.208,212.227.0.0/16,,,DE,8560.0,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",IONOS-AS,DE,Global
18,209 ms,208 ms,208 ms,212.227.121.9,212.227.0.0/16,,,DE,8560.0,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",IONOS-AS,DE,Global
19,222 ms,207 ms,218 ms,217.160.0.86,217.160.0.0/16,,,DE,8560.0,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",IONOS-AS,DE,Global
