index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,2 ms,1 ms,1 ms,192.168.31.1,,,,,,,,,
1,15 ms,11 ms,12 ms,10.5.82.1,,,,,,,,,
2,117 ms,5 ms,4 ms,192.168.41.149,,,,,,,,,
3,2 ms,1 ms,1 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,35 ms,57 ms,55 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,34 ms,3 ms,3 ms,10.119.254.121,,,,,,,,,
6,21 ms,3 ms,4 ms,10.160.24.5,,,,,,,,,
7,4 ms,4 ms,4 ms,10.255.222.33,,,,,,,,,
8,8 ms,4 ms,4 ms,115.247.100.29,115.240.0.0/13,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
10,26 ms,27 ms,26 ms,115.110.206.73,115.110.128.0/17,TATACOMM-IN,Internet Service Provider,IN,4755.0,TATA Communications formerly VSNL is Leading ISP,TATACOMM-AS,IN,Global
11,34 ms,34 ms,33 ms,103.232.241.237,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
12,34 ms,42 ms,34 ms,121.244.3.222,121.244.0.0/17,TATACOMM-IN,Internet Service Provider,IN,4755.0,TATA Communications formerly VSNL is Leading ISP,TATACOMM-AS,IN,Global
13,35 ms,31 ms,30 ms,23.9.122.131,23.0.0.0/12,AKAMAI,"Akamai Technologies, Inc.",US,20940.0,Akamai International B.V.,AKAMAI-ASN1,NL,Global
