index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,1 ms,2 ms,2 ms,192.168.31.1,,,,,,,,,
1,2 ms,1 ms,1 ms,10.5.82.1,,,,,,,,,
2,5 ms,8 ms,18 ms,192.168.41.149,,,,,,,,,
3,2 ms,1 ms,1 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,6 ms,2 ms,4 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,6 ms,1 ms,1 ms,10.119.254.121,,,,,,,,,
6,4 ms,3 ms,4 ms,10.160.24.5,,,,,,,,,
7,34 ms,6 ms,4 ms,10.255.221.33,,,,,,,,,
8,14 ms,4 ms,7 ms,115.247.100.29,115.240.0.0/13,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
10,53 ms,47 ms,35 ms,162.158.226.122,162.158.226.0/23,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
11,30 ms,39 ms,35 ms,172.69.176.5,172.69.176.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
12,31 ms,32 ms,30 ms,104.16.29.57,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
