index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,1 ms,<1 ms,<1 ms,192.168.31.1,,,,,,,,,
1,1 ms,2 ms,1 ms,10.5.82.1,,,,,,,,,
2,2 ms,3 ms,2 ms,192.168.41.149,,,,,,,,,
3,2 ms,1 ms,1 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,9 ms,1 ms,3 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,4 ms,23 ms,1 ms,10.119.254.121,,,,,,,,,
6,4 ms,5 ms,4 ms,10.160.24.5,,,,,,,,,
7,7 ms,3 ms,3 ms,10.255.221.33,,,,,,,,,
8,5 ms,5 ms,5 ms,115.247.100.29,115.240.0.0/13,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
10,31 ms,30 ms,30 ms,162.158.226.122,162.158.226.0/23,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
11,34 ms,33 ms,39 ms,172.71.196.4,172.71.196.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
12,30 ms,29 ms,29 ms,104.18.8.132,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
