index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,2 ms,1 ms,5 ms,192.168.31.1,,,,,,,,,
1,9 ms,1 ms,1 ms,10.5.82.1,,,,,,,,,
2,337 ms,19 ms,25 ms,192.168.41.149,,,,,,,,,
3,8 ms,3 ms,3 ms,103.232.241.70,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
4,8 ms,1 ms,1 ms,103.232.241.2,103.232.241.0/24,D3079306-AFIN,IIT Hyderabad,IN,59193.0,IIT Hyderabad,D3079306AFIN-AS,IN,Regional
5,8 ms,3 ms,5 ms,10.119.254.121,,,,,,,,,
6,13 ms,5 ms,4 ms,10.160.24.5,,,,,,,,,
7,10 ms,24 ms,3 ms,10.255.221.33,,,,,,,,,
8,216 ms,38 ms,,115.247.100.29,115.240.0.0/13,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
11,365 ms,19 ms,12 ms,49.44.183.1,49.44.128.0/17,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
12,21 ms,12 ms,15 ms,104.122.217.246,104.122.216.0/22,AKAMAI,"Akamai Technologies, Inc.",US,16625.0,"Akamai Technologies, Inc.",AKAMAI-AS,US,Global
