index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,163 ms,184 ms,,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Global
1,219 ms,232 ms,298 ms,81.20.64.113,81.20.64.0/20,,,GB,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
2,318 ms,305 ms,303 ms,129.250.7.86,129.250.0.0/16,NTTA-129-250,"NTT America, Inc.",US,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
4,382 ms,245 ms,236 ms,129.250.6.147,129.250.0.0/16,NTTA-129-250,"NTT America, Inc.",US,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
5,415 ms,616 ms,409 ms,129.250.6.177,129.250.0.0/16,NTTA-129-250,"NTT America, Inc.",US,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
6,437 ms,,,129.250.4.143,129.250.0.0/16,NTTA-129-250,"NTT America, Inc.",US,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
7,501 ms,494 ms,589 ms,129.250.6.127,129.250.0.0/16,NTTA-129-250,"NTT America, Inc.",US,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
8,601 ms,507 ms,411 ms,203.105.72.218,203.105.64.0/19,NTTGIN-CIDR-BLK-JP,NTT Ltd Japan Corporation,JP,2914,"NTT America, Inc.",NTT-LTD-2914,US,Global
9,406 ms,401 ms,452 ms,202.72.49.107,202.72.48.0/20,Rakuten-CIDR-BLK-JP,"Rakuten,Inc.",JP,23820,"Rakuten Group, Inc.",RAKUTEN,JP,Global
10,447 ms,446 ms,438 ms,202.72.48.166,202.72.48.0/20,Rakuten-CIDR-BLK-JP,"Rakuten,Inc.",JP,23820,"Rakuten Group, Inc.",RAKUTEN,JP,Global
11,456 ms,428 ms,408 ms,202.72.48.171,202.72.48.0/20,Rakuten-CIDR-BLK-JP,"Rakuten,Inc.",JP,23820,"Rakuten Group, Inc.",RAKUTEN,JP,Global
12,817 ms,557 ms,468 ms,133.237.16.234,133.237.0.0/16,Rakuten-CIDR-BLK-JP,"Rakuten Group, Inc.",JP,23820,"Rakuten Group, Inc.",RAKUTEN,JP,Global
